application,size,branch,l1d_pref,l2c_pref,llc_pref,llc_rep,inst,cycles,ipc,l1d_tot_hit,l1d_tot_miss,l1d_pref_issued,l1d_pref_useful,l1d_pref_useless,l1d_lat,l2c_tot_hit,l2c_tot_miss,l2c_pref_issued,l2c_pref_useful,l2c_pref_useless,l2c_lat,llc_tot_hit,llc_tot_miss,llc_pref_issued,llc_pref_useful,llc_pref_useless,llc_lat,branch_acc,mpki,branch_direct,branch_indirect,branch_cond,branch_dir_call,branch_ind_call,branch_ret
bzip2,38B,bimodal,next_line,ip_stride,no,lru,200000000,185381896,1.07885,96860117,3543536,39536081,383980,1138685,29.3915,3929058,1040804,896839,170179,293851,66.0039,1234017,216558,0,22915,74262,173.179,90.7335,13.5219,1.3001,0,12.3069,0.492574,0,0.492574
bzip2,38B,bimodal,no,no,no,lru,200000001,196767934,1.01643,59507667,2261765,0,0,0,42.3391,2109371,842609,0,0,0,73.1508,1027158,212873,0,0,0,170.764,90.7335,13.5219,1.3001,0,12.3069,0.492574,0,0.492574
bzip2,38B,hashed_perceptron,next_line,kpcp,next_line,drrip,200000002,174465062,1.14636,95472418,3543951,38800656,392046,1139122,29.0162,3503530,1020696,1831936,154220,276077,55.9126,3282971,227664,1876454,31484,68336,183.902,92.9889,10.2307,1.3001,0,12.3069,0.492574,0,0.492574
gcc,48B,bimodal,next_line,ip_stride,no,lru,200000001,148206071,1.34947,99108445,1869201,34080828,366368,576116,20.7598,2026979,72259,213729,5226,26920,184.61,16199,69841,0,492,18595,159.336,99.3714,1.40002,3.02302,1.48199,14.7205,1.5158,0.0081745,1.52398
gcc,48B,bimodal,no,no,no,lru,200000001,148091669,1.35051,68313979,175878,0,0,0,65.1493,145129,48483,0,0,0,181.502,13770,47585,0,0,0,154.126,99.3714,1.40002,3.02302,1.48199,14.7205,1.5158,0.0081745,1.52398
gcc,48B,hashed_perceptron,next_line,kpcp,next_line,drrip,200000001,142633915,1.40219,98596084,1869088,33835931,365769,576079,19.4953,1835442,69955,200942,3817,24589,134.543,388888,85354,249188,11789,31725,163.392,99.8939,0.23627,3.02302,1.48199,14.7205,1.5158,0.0081745,1.52398
povray,252B,bimodal,next_line,ip_stride,no,lru,200000000,259395690,0.771023,106956752,3637689,43389239,492557,980212,14.0889,5312657,2502,353584,1077,583,121.023,904,1598,0,7,0,142.278,93.718,9.22571,1.00272,0.0228045,9.01414,1.67576,0.64733,2.32309
povray,252B,bimodal,no,no,no,lru,200000000,259344959,0.771174,68842269,1307329,0,0,0,15.2314,2221352,1526,0,0,0,171.224,0,1526,0,0,0,141.142,93.718,9.22571,1.00272,0.0228045,9.01414,1.67576,0.64733,2.32309
povray,252B,hashed_perceptron,next_line,kpcp,next_line,drrip,200000000,216008148,0.925891,102527861,3636198,41207939,501113,979386,14.2014,4995433,2275,309383,1151,50,79.1156,564741,4013,301420,567,24,158.959,99.804,0.28784,1.00272,0.0228045,9.01415,1.67576,0.64733,2.32309
calculix,104B,bimodal,next_line,ip_stride,no,lru,200000003,168163441,1.18932,99921169,0,49648919,61,0,0,0,0,35,0,0,0,0,0,0,0,0,0,72.2027,25.047,1.47042,0,7.54019,0,0,0
calculix,104B,bimodal,no,no,no,lru,200000003,168163441,1.18932,51835669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2027,25.047,1.47042,0,7.54019,0,0,0
calculix,104B,hashed_perceptron,next_line,kpcp,next_line,drrip,200000003,103821929,1.92638,84930759,0,42344605,61,0,0,0,0,37,0,0,0,0,0,149,5,0,0,99.6916,0.277905,1.47042,0,7.54019,0,0,0
astar,42B,bimodal,next_line,ip_stride,no,lru,200000002,617283101,0.324,73789984,10807903,36634407,689100,4970873,44.8902,7378945,5651133,280013,113776,2850088,53.1944,6005262,707519,0,126964,285602,164.78,72.2784,52.3426,0.009694,0,18.8675,0.002152,0,0.002152
astar,42B,bimodal,no,no,no,lru,200000002,643846062,0.310633,44031698,5799997,0,0,0,45.711,5353641,2353986,0,0,0,64.8146,2700142,477332,0,0,0,163.018,72.2784,52.3426,0.009694,0,18.8675,0.002152,0,0.002152
astar,42B,hashed_perceptron,next_line,kpcp,next_line,drrip,200000002,488236051,0.409638,67694560,10807669,33833789,663252,4970825,47.8988,8016177,6045466,3896892,118858,3149710,51.0441,11291229,1271460,7318300,150819,780219,173.07,84.5433,29.1846,0.009694,0,18.8675,0.002152,0,0.002152
